"ABT","À peu-près"
"MSTLY","Généralement"
"MOTN","Mouvement"
"MT","Montagne(s)"
"MTW","Ondes orographiques"
"MOV","Se déplacer, se déplaçant, mouvement"
"MOVD","S&#39;est/se sont déplacé(e, s, es)"
"NRSTR","Détroit de Nares"
"NRW","Étroit"
"NM","Mille(s) marin(s)"
"NAV","Navigation"
"NR","Près"
"NRG","Approchant"
"NRLY","Presque"
"NE","Nebraska"
"NECLY","Nécessairement"
"NEC","Nécessaire"
"NEG","Négatif"
"NVA","Advection négative de tourbillon"
"NEGLY","Négativement"
"NV","Nevada"
"NB","Nouveau-Brunswick"
"NEWENG","Nouvelle-Angleterre"
"NH","New Hampshire"
"NJ","New Jersey"
"NM","Nouveau Mexique"
"NY","New York"
"NF","Terre-Neuve"
"NL","Terre-Neuve-et-Labrador"
"NXT","Suivant"
"NGT","Nuit(s)"
"NGTM","Durant la nuit"
"NSW","Pas de temps significatif"
"NS","Nimbostratus"
"NC","Pas de changement"
"NIL","Aucun"
"NML","Normal"
"NMLY","Normalement"
"N","Nord, Latitude nord"
"NAM","Amérique du Nord"
"NAT","Nord Atlantique"
"NC","Caroline du Nord"
"ND","Dakota du Nord"
"NP","Pôle Nord"
"NE","Nord-est"
"NELY","Venant du nord-est, du nord-est"
"NERN","Nord-est, au nord-est"
"NLY","Venant du nord, du nord"
"NRN","Nord, au nord"
"NNE","Nord-nord-est"
"NNW","Nord-nord-ouest"
"NBRLDSTR","Détroit de Northumberland"
"NW","Nord-ouest"
"NT","Territoires du Nord-Ouest"
"NWLY","Venant du nord-ouest, du nord-ouest"
"NWRN","Nord-ouest, au nord-ouest"
"NTFYN","Notification"
"NTFYD","Notifié(e, s, es)"
"NTFY","Notifier"
"NTFYG","Notifiant"
"NS","Nouvelle-Écosse"
"NOV","Novembre"
"NR","Nombre(s)"
"NUMCL","Numérique"
"NUMCLY","Numériquement"
"NMRS","Nombreux"
"NU","Nunavut"
"OBSCN","Obscurcissement"
"OBSC","Obscurcir, obscurci(e, s, es), obscurcissant"
"OBS","Observation(s), observer, observé(e, s, es)"
"OBST","Obstruer, obstacle(s)"
"OBSTD","Obstrué(e, s, es)"
"OBSTG","Obstruant"
"OBSTN","Obstruction"
"OCNL","Occasionnel, occasionnellement"
"OCLD","Occlure, occlu(e, s, es)"
"OCLDG","D&#39;occlusion"
"OCLN","Occlusion"
"OCLNS","Occlusions"
"OCR","Se produire"
"OCRD","S&#39;étant produit(e, s, es)"
"OCRNC","Manifestation"
"OCRG","Se produisant"
"OCN","Océan"
"OCNS","Océans"
"OCT","Octobre"
"OFSHR","Au large"
"OH","Ohio"
"OK","Oklahoma"
"O/R","Sur demande"
"OTP","Au-dessus"
"ONSHR","Venant du large"
"ON","Ontario"
"OPN","Ouvrir, ouvert(e, s, es), ouvrant"
"OPNLY","Ouvertement"
"OPSD","Exploité(e, s, es)"
"OPSG","Exploitant"
"OPS","Exploitation(s) ou vols"
"OPR","Exploitant(s)"
"OR","Oregon"
"ORGZN","Organisation"
"ORGZ","Organiser"
"ORGZD","Organisé(e, s, es)"
"ORGZG","Organisant"
"ORNT","Orienter, s&#39;orienter"
"ORNTN","Orientation"
"ORNTD","Orienté(e, s, es)"
"ORNTG","Orientant, s&#39;orientant"
"ORIG","Original"
"ORIGLY","À l&#39;origine"
"ORIGS","Originals"
"ORIGT","Venir de, provenir de"
"ORIGTD","Venu(e, s, es)"
"ORIGTG","Venant"
"ORGPHC","Orographique"
"ORGPHCLY","Orographiquement"
"OTWZ","Autrement"
"OTLK","Aperçu"
"OVR","Au-dessus"
"OVRLD","Sur la terre"
"OVRSEA","Sur la mer"
"OVRSTRS","Sur les détroits"
"OVC","Couvert"
"OHD","Au-dessus, dans le ciel"
"OVRLP","Chevauchement"
"OVRLY","Trop"
"OVRNGT","Pendant la nuit"
"OVRN","Envahir, déborder"
"OVRND","Envahi(e, s, es), débordé(e, s, es)"
"OVRNG","Envahissant, débordant"
"PAC","Pacifique"
"PNHDL","Bande de terre"
"PARA","Paragraphe"
"PARL","Parallèle"
"PTLY","Partiellement"
"PSG","Passage, passant"
"PTCH","Nappe, banc"
"PTCHS","Nappes, bancs"
"PTCHY","En nappes, en bancs"
"PATN","Configuration"
"PATNS","Configurations"
"PCRGN","Région de la Rivière-de-la-Paix"
"PA","Pennsylvanie"
"PER","Performance"
"PD","Période"
"PDS","Périodes"
"PERM","Permanent"
"PERMLY","De façon permanente"
"PRST","Persister"
"PRSTD","Persisté(e, s, es)"
"PRSTNC","Persistance"
"PRSTG","Persistant"
"PHS","Phase(s)"
"PIX","Image, photo"
"PIXS","Images, photos"
"PIBAL","Observation ballon pilote"
"PIREP","Message de pilote"
"PIREP","Messages de pilotes"
"PLS","S&#39;il vous plaît"
"PT","Point"
"PTS","Points"
"P","Polaire"
"PTN","Portion"
"PTNS","Portions"
"PSN","Position(s)"
"POS","Positlf"
"PVA","Advection positive de tourbillon"
"POSLY","Positivement"
"POSS","Possible, possiblement"
"PTNL","Potentiel"
"PTNLY","Potentiellement"
"PWR","Puissance"
"PRCTN","Précaution"
"PRCTNS","Précautions"
"PRECD","Précéder"
"PRECDD","Précédé(e, s, es)"
"PRECDNC","Préséance, priorité"
"PRECDG","Précédant"
"PCPN","Précipitation"
"PCPNS","Précipitations"
"PDMTLY","De façon prédominante"
"PDMT","Prédominer, prédominant"
"PDMTD","Prédominé(e, s, es)"
"PDMTG","Prédominant"
"PRFR","Préférer"
"PRFRLY","Préférablement"
"PRFRNC","Préférence"
"PRFRD","Préféré(e, s, es)"
"PRFRG","Préférant"
"PRELIM","Préliminaire"
"PREPN","Préparation"
"PREP","Préparer"
"PREPD","Préparé(e, s ,es)"
"PREPG","Préparant"
"PRSNT","Présent, présenter"
"PRSNTLY","Présentement"
"PRES","Pression"
"PRESFR","Pression en baisse rapide"
"PRESRR","Pression en hausse rapide"
"PVL","Prévaloir, dominer"
"PVLD","Prévalu(e, s, es), dominé( e, s, es)"
"PVLG","Dominant"
"PVLNC","Prédominance"
"PVLT","Courant, répandu"
"PREV","Précédent, antérieur"
"PREVLY","Antérieurement"
"PRIMLY","Essentiellement"
"PRI","Primaire"
"PE","Île du Prince Édouard"
"PRCPL","Principal"
"PRCPLY","Principalement"
"PROB","Probabilité"
"PROC","Procédure(s)"
"PCD","Procéder, aller, procédant, allant"
"PROG","Pronostic, pronostique"
"PRVD","Fournir"
"PRVDD","Fourni(e, s, es)"
"PRVDG","Fournissant"
"PRVDN","Provision"
"PROV","Provisoir, provisoirement"
"PUB","Publique"
"PUBLY","Publiquement"
"PGTSND","Puget Sound"
"QUAD","Quadrant(s)"
"QNTYTV","Quantitatif, quantitative"
"QPF","Prévision des quantités de précipitations"
"QNTYTVLY","Quantitativement"
"QNTY","Quantité"
"QTR","Quart"
"QTRS","Quarts"
"QC","Québec"
"QCHSND","Bassin de la Reine-Charlotte"
"QCHSTR","Détroit de la Reine-Charlotte"
"RDR","Radar"
"RAREP","Message de radar"
"RAREPS","Messages de radar"
"RDL","Radial"
"RADN","Rayonnement"
"RADNS","Rayonnements"
"RDO","Radio"
"RDOACT","Radioactif"
"RAOB","Radiosondage"
"RAD","Rayon"
"RAG","Déchiqueté(e, s, es)"
"RA","Pluie"
"SHRA","Averse(s) de pluie"
"RRT","Taux de chute de pluie"
"RG","Portée(s), étendue(s)"
"RPD","Rapide"
"RPDLY","Rapidement"
"RTHR","Plutôt"
"RCH","Atteindre, atteint(e), atteignant"
"RSN","Raison"
"RSNS","Raisons"
"REC","Recevoir, reçu(e, s, es), récepteur, recevant"
"RE","Récent"
"RCPTN","Réception"
"RCMDN","Recommandation"
"RCMD","Recommander"
"RCMDD","Recommandé(e, s, es)"
"RCMDG","Recommandant"
"REF","Référence"
"REFS","Références"
"RFC","Refléter"
"RFCD","Reflété(e, s, es)"
"RFCG","Reflétant"
"RFCN","Réflexion"
"RFCNS","Réflexions"
"RFRM","Réformer"
"RFRMS","Réformer"
"RGN","Région"
"RGNS","Régions"
"REG","Régulier"
"REGLY","Régulièrement"
"RLTV","Relatif"
"RH","Humidité relative"
"RLTVLY","Relativement"
"RLA","Relayer"
"RLAD","Relayé(e, s, es)"
"RLAG","Relayant"
"RLS","Libérer, lâcher"
"RLSD","Libéré(e, s, es)"
"RLSG","Libérant"
"RLBL","Fiable"
"RLBLY","De façon fiable"
"RMN","Demeurer, rester"
"RMND","Resté(e, s, es)"
"RMNG","Restant"
"RMK","Remarque(s)"
"RPT","Répéter"
"RPTD","Répété(e, s, es)"
"RPTLY","En répétition"
"RPTG","Se répétant"
"RPLC","Remplacer, remplacé(e, s, es)"
"RPLCNT","Remplacement"
"RPLCG","Remplaçant"
"REP","Rapport(s), rapporté(e, s, es), rapportant"
"REQ","Demande(s), demander, demandé(e, s ,es)"
"RQR","Nécessiter, exiger"
"RQRD","Nécessité(e, s, es), exigigé(e, s, es)"
"RQRMT","Exigence, besoin"
"RQRG","Nécessitant, exigeant"
"RSTR","Restreindre"
"RSTRD","Restreint(e, s, es) à"
"RSTRG","Restreignant"
"RSTRN","Restriction"
"RSTRNS","Restrictions"
"RTD","Retarder, en retard"
"RTN","Retour, retourner, revenir, revenu(e, s, es), revenant"
"RVS","Réviser"
"RVSD","Révisé(e, s, es)"
"RVSG","Révisant"
"RVSN","Révision"
"RI","Rhode Island"
"RDG","Crête"
"RDGS","Crêtes"
"RIME","Givre blanc"
"RSG","Montant, à la hausse"
"RCKY","Rocheuses"
"ROT","Tourner, pivoter"
"ROTD","Tourné(e, s, es)"
"ROTG","En rotation"
"ROTN","Rotation"
"RUF","Rude, rugeux"
"RUFLY","Rudement"
"RTE","Route(s)"
"ROFOR","Prévision de route"
"ROFORS","Prévisions de route"
"UA","PIREP régulier"
"UAS","PIREPs réguliers"
"RWY","Piste(s) d&#39;aérodrome"
"RVR","Portée visuelle de piste"
"SA","Sable"
"PO","Tourbillon de sable"
"VCPO","Tourbillon de sable dans les environs"
"SS","Tempête de sable"
"VCSS","Tempête de sable dans les environs"
"SK","Saskatchewan"
"SAT","Satellite"
"SATCOM","Communication par satellite"
"SATS","Satellites"
"SCT","Épars, disperser"
"SCTG","Se dispersant"
"SKED","Horaire(s)"
"SKED","Prévu(e, s, es) pour, à l&#39;horaire"
"SKED","Mettre à l&#39;horaire"
"SLP","Pression au niveau de la mer"
"SAR","Recherches et sauvetage"
"SCND","Deuxième, second"
"SEC","Seconde"
"SECN","Section(s)"
"SECT","Secteur(s)"
"SEL","Sélectionner"
"SELD","Sélectionné(e, s, es)"
"SELG","Sélectionnant"
"SELN","Sélection"
"SLKRS","Monts Selkirks"
"SEP","Septembre"
"SQNC","Séquence"
"SER","Service(s), déservi(e, s, es), entretien"
"SETG","Réglage, calage (altimètre)"
"SETL","S&#39;établir"
"SETLD","S&#39;étant établi(e, s, es)"
"SETLG","S&#39;établissant"
"SVRL","Plusieurs"
"SEV","Fort, violent"
"SHLW","Peu profond, peu épais"
"MIFG","Couche mince de brouillard"
"SHFT","Changement, saute"
"SHFTD","Changé(e, s, es)"
"SHFTG","Changeant"
"SHR","Rive"
"SHRS","Rives"
"SHRT","Petit, court"
"SRG","Court terme"
"SHRTLY","Sous peu"
"SWV","Onde courte"
"SWVS","Ondes courtes"
"SHUD","Devrait"
"SH","Averse(s)"
"VCSH","Averse dans les environs"
"SHTDN","Arrêt"
"SGL","Signal(s)"
"SIGNTR","Signature"
"SIGNTRS","Signatures"
"SIG","Significatif"
"SIGWX","Temps significatif"
"SIGLY","Significativement"
"SIMUL","Simultané, simultanément"
"SITU","Situation(s)"
"SITUS","Situations"
"SKC","Ciel dégagé"
"SK","État du ciel (PIREP)"
"SLGT","Léger, peu"
"SLGTLY","Légèrement"
"SLP","Pente"
"SLPD","En pente"
"SLPG","Allant en pente"
"SLW","Lent, ralenti(e, s, es), ralentissant, lentement"
"SML","Petit"
"FU","Fumée"
"SMTH","Doux"
"SN","Neige"
"SG","Neige en grains"
"SHGS","Averse(s) de neige roulée"
"GS","Neige roulée"
"SHSN","Averse(s) de neige"
"SNSQ","Bourrasque(s) de neige"
"SNFL","Chute de neige"
"SNFLS","Chutes de neige"
"SMTM","Parfois"
"SMWHT","Quelque peu"
"SRC","Source"
"SRCS","Sources"
"S","Sud, latitude sud"
"SC","Caroline du Sud"
"SD","Dakota du Sud"
"SE","Sud-est"
"SELY","Du sud-est"
"SERN","Dans le sud-est, au sud-est"
"SLY","Venant du sud, du sud"
"SRN","Dans le sud, au sud"
"SSE","Sud-sud-est"
"SSW","Sud-sud-ouest"
"SW","Sud-ouest"
"SWLY","Venant du sud-ouest, du sud ouest"
"SWRN","Dans le sud-ouest, au sud-ouest"
"SPECI","Spécial (spéciaux)"
"SPD","Vitesse"
"SPRL","Spirale"
"SPRLD","Tourné(e, s, es) en vrille"
"SPRLG","Tournant en vrille"
"SPRLS","Spirales"
"SPRD","Répandre"
"SPRDD","Répandu(e, s, es)"
"SPRDG","Se répandant"
"SPKL","Arroser"
"SPKLD","Parsemé(e, s, es)"
"SPKLS","Arroser, parsemer"
"SPKLG","Parsemant"
"SQ","Grain(s)"
"SQL","Ligne(s) de grains"
"STLAWR","St-Laurent"
"SI","Indice de stabilité"
"STBL","Stable"
"STFD","Avec personnel"
"STAG","Stagnant, inactif"
"STAGS","Stagnants, inactives"
"STD","Standard(s), norme(s)"
"STN","Station(s)"
"STNR","Stationnaire"
"STATS","Statistiques"
"STDYLY","De façon constante"
"STDY","Constant"
"STPL","Pointillé(e, s, es)"
"STP","Arrêter, s&#39;arrêter, arrêt"
"STPD","Arrêté(e, s, es)"
"STPG","Arrêtant, s&#39;arrêtant"
"STM","Tempête"
"STMS","Tempêtes"
"STR","Détroit"
"STRBI","Détroit de Belle Île"
"STRS","Détroits"
"STF","Stratiforme"
"SC","Stratocumulus"
"ST","Stratus"
"SF","Stratus fractus"
"STRM","Courant, découler"
"STRMD","Découlé(e, s, es)"
"STRMG","Découlant"
"STRMS","Courants, découler"
"STGT","Force"
"STGTN","Renforcer"
"STGTND","Renforcé(e, s, es)"
"STGTNG","Renforçant"
"STG","Fort"
"STGR","Plus fort"
"STGLY","Fortement"
"SBJV","Subjectif"
"SBJVLY","Subjectivement"
"SBSD","S&#39;apaiser, en subsidence"
"SBSDD","S’est/se sont apaisé(e, s, es)"
"SBSDNC","Subsidence"
"SBSDG","S&#39;apaisant"
"SUG","Suggérer"
"SUGD","Suggéré(e, s, es)"
"SUGG","Suggérant"
"SUGN","Suggestion"
"SMRY","Sommaire"
"SSWX","Temps violent d&#39;été"
"SUN","Dimanche"
"SR","Lever du soleil"
"SS","Coucher du soleil"
"SUPR","Supérieur"
"SUPSD","Remplacer"
"SUPSDD","Remplacé(e, s, es)"
"SUPSDG","Remplaçant"
"SUP","Supplément(s) (AIP)"
"SUPPLD","Complémenté"
"SUPPLG","Complémentant"
"SUPRT","Appui, soutien"
"SUPRTD","Soutenu(e, s, es)"
"SUPRTG","Soutenant"
"SFC","Surface(s)"
"SYNO","Synoptique, situation"
"SYS","Système(s)"
"TKOF","Décollage"
"TECHL","Technique"
"TECR","Raison(s) technique(s)"
"TECHLY","Techniquement"
"TECH","Technicien"
"TECHS","Techniciens"
"TELECOM","Télécommunication"
"TEL","Téléphone(s)"
"TLTP","Téléscripteur"
"T","Température(s)"
"TEMPO","Temporaire"
"TNDCY","Tendance"
"TN","Tennessee"
"TEPHI","Téphigramme"
"TEPHIS","Téphigrammes"
"TRML","Aérogare, aérodrome"
"TRMLS","Aérogares, aérodromes"
"TRRN","Terrain"
"TX","Texas"
"THNC","De là"
"THRFTR","Par la suite"
"THRML","Thermique"
"THRMLY","Thermiquement"
"THK","Épais"
"THKN","Épaissir, épaississant"
"THKNG","S&#39;épaississant"
"THKR","Plus épais"
"THN","Mince"
"THNR","Plus mince"
"THNG","S&#39;amincissant"
"THSD","Mille, millier"
"THSDS","Milles, milliers"
"THRU","À travers"
"THRUT","Partout, pour toute la durée"
"TS","Orage(s)"
"THU","Jeudi"
"TL","Jusqu&#39;à"
"TDA","Aujourd&#39;hui"
"TMW","Demain"
"TNGT","Ce soir, cette nuit"
"TPG","Surmontant"
"+FC","Tornade(s)"
"TRNMT","Monts Torngat"
"TWD","Vers"
"TWRG","Bourgeonnant"
"TCU","Cumulus bourgeonnant"
"TR","Trace"
"TRS","Traces"
"TR","Route(s), suivi(e, s, es), suivant"
"TFC","Trafic"
"TRAJS","Trajectoires"
"TRAJ","Trajectoire"
"TWB","Émission radio transcrite"
"TSFR","Transférer"
"TSFRD","Transféré(e, s, es)"
"TSFRG","Transférant"
"TRANS","Transmission, transmettre, transmis(e, es), transmettant"
"TROPCL","Tropical"
"TC","Cyclone(s) tropical(aux)"
"TROP","Tropopause"
"TROF","Creux, dépression"
"TROWAL","Langue d&#39;air chaud en altitude"
"TROF","Creux, dépressions"
"TUE","Mardi"
"TUKPEN","Péninsule de Tuktoyaktuk"
"TURB","Turbulence"
"TWLGT","Pénombre"
"TYP","Type d&#39;aéronef"
"TYPH","Typhon(s)"
"UNA","Incapable, dans l&#39;impossibilité"
"UNAVBL","Non disponible"
"UNGBA","Baie d’Ungava"
"UP","Précipitation non identifiée (utilisé dans les METAR et les SPECI automatiques)"
"UTC","Temps universel coordonné"
"UNLS","À moins que"
"UNLK","Contrairement à"
"UNLKLY","Improbable"
"UNL","Illimité(e, s, es)"
"UNREL","Douteux, peu fiable"
"UNRELY","De façon douteuse (peu fiable)"
"UNSKED","Imprévu(e, s, es), spécial"
"UNSETL","Perturber, incertain"
"UNSETLD","Perturbé(e, s, es)"
"UNSTBL","Instable"
"UNSTDY","Irrégulier, non constant"
"TIL","Jusqu&#39;à"
"UFN","Jusqu&#39;à nouvel avis"
"UPDFT","Courant d&#39;air ascendant"
"UPDFTS","Courants d&#39;air ascendant"
"UPR","Supérieur, plus élevé"
"UA","En altitude"
"RAWIN","Vents en altitude par radiosondage"
"UPSLP","Montant la pente"
"UPSTRM","En amont"
"UPWND","En amont"
"URG","Urgent"
"UUA","PIREP urgent"
"UUAS","PIREPs urgent"
"URGLY","De toute urgence"
"USBL","Utilisable"
"UT","Utah"
"Z","UTC (temps universel coordonne)"
"VLY","Vallée"
"VLYS","Vallées"
"VRISL","Île de Vancouver"
"VPR","Vapeur"
"VRB","Variable"
"VRBLY","Variablement"
"VRTN","Variation"
"VRTNS","Variations"
"VR","Virer (mouvement dextrogyre)"
"VRD","Qui a viré(e), qui ont viré(es)"
"VRG","Virant"
"VFYN","Vérification"
"VFYD","Vérifié(e, s, es)"
"VFY","Vérifier"
"VFYG","Vérifiant"
"VT","Vermont"
"VER","Vertical, verticalement"
"VV","Visibilité verticale"
"VRY","Très"
"VC","Dans les environs (de l’aérodrome)"
"VICISL","Île de Victoria"
"VLNT","Violent"
"VLNTLY","Violament"
"VA","Virginie"
"VIS","Visibilité"
"VISBL","Visible"
"VISL","Visuel"
"VFR","Règles de vol à vue"
"VISLY","Visuellement"
"VA","Cendre volcaniques"
"VORT","Tourbillon"
"WRM","Chaud"
"WAA","Advection d&#39;air chaud"
"WRMR","Plus chaud"
"WRMG","Se réchauffant"
"WRN","Avertir"
"WRNG","Avertissement"
"WA","Washington"
"WTR","Eau"
"WTRS","Eaux"
"WTSPT","Trombe(s) marine(s)"
"+FC","Trombe(s) marine(s) (METAR)"
"WV","Vague, onde"
"WVS","Vagues, ondes"
"WK","Faible"
"WKN","Faiblir, s&#39;affaiblir, s&#39;affaiblissant"
"WKR","Plus faible"
"WX","Conditions du temps"
"WED","Mercredi"
"WT","Poids"
"W","Ouest, longitude ouest"
"WLY","De l&#39;ouest"
"WRN","Dans l&#39;ouest"
"WNW","Ouest-nord-ouest"
"WSW","Ouest-sud-ouest"
"WB","Thermomètre mouillé"
"WID","Large, largeur"
"WDLY","Très, grandement"
"WDR","Plus grand"
"WDSPR","Étendu(e, s, es)"
"WIND","Vent"
"WS","Cisaillement du vent"
"WSHFT","Changement de direction du vent"
"WSPD","Vitesse de vent"
"WSWX","Temps d&#39;hiver rigoureux"
"WI","Wisconsin"
"WI","Dans"
"WO","Sans"
"WRS","Pire"
"WRSN","Empirer"
"WRSNG","Empirant"
"WY","Wyoming"
"YDA","Hier"
"YT","Yukon"
"Z","Zulu (UTC) temps universel coordonné"
