"A/A","Air-to-Air"
"PRIMLY","Primarily"
"PROB","Probability"
"PROC","Procedure(s)"
"PROG","Prognosis, Prognostic"
"PROV","Provisional, Provisionally"
"PRSNT","Present"
"PRSNTLY","Presently"
"PRST","Persist"
"PRSTD","Persisted"
"PRSTG","Persisting"
"PRSTNC","Persistence"
"PRVD","Provide"
"PRVDD","Provided"
"PRVDG","Providing"
"PRVDN","Provision"
"PSG","Passage, Passing"
"PSN","Position(s)"
"PT","Point"
"PTCH","Patch"
"PTCHS","Patches"
"PTCHY","Patchy"
"PTLY","Partly"
"PTN","Portion"
"PTNL","Potential"
"PTNLY","Potentially"
"PTNS","Portions"
"PTS","Points"
"PUB","Public"
"PUBLY","Publicly"
"PVA","Positive Vorticity Advection"
"PVL","Prevail"
"PVLD","Prevailed"
"PVLG","Prevailing"
"PVLNC","Prevalence"
"PVLT","Prevalent"
"PWR","Power"
"QC","Quebec"
"QCHSND","Queen Charlotte Sound"
"QCHSTR","Queen Charlotte Strait"
"QNTY","Quantity"
"QNTYTV","Quantitative"
"QNTYTVLY","Quantitatively"
"QPF","Quantitative Precipitation Forecast"
"QTR","Quarter"
"QTRS","Quarters"
"QUAD","Quadrant(s)"
"RA","Rain"
"RAD","Radius"
"RADN","Radiation"
"RADNS","Radiations"
"RAG","Ragged"
"RAOB","Radiosonde Observation"
"RAREP","Radar Report"
"RAREPS","Radar Reports"
"RAWIN","Upper Wind From Radiosonde Observation"
"RCH","Reach, Reached, Reaching"
"RCKY","Rockies"
"RCMD","Recommend"
"RCMDD","Recommended"
"RCMDG","Recommending"
"RCMDN","Recommendation"
"RCPTN","Reception"
"RDG","Ridge"
"RDGS","Ridges"
"RDL","Radial"
"RDO","Radio"
"RDOACT","Radioactive"
"RDR","Radar"
"RE","Recent"
"REC","Receive, Received, Receiving, Receiver"
"REF","Reference"
"REFS","References"
"REG","Regular"
"REGLY","Regularly"
"REP","Report(s), Reported, Reporting"
"REQ","Request(s), Rerquested"
"RFC","Reflect"
"RFCD","Reflected"
"RFCG","Reflecting"
"RFCN","Reflection"
"RFCNS","Reflections"
"RFRM","Reform"
"RFRMS","Reforms"
"RG","Range(s)"
"RGN","Region"
"RGNS","Regions"
"RH","Relative Humidity"
"RI","Rhode Island"
"RIME","Rime icing"
"RLA","Relay"
"RLAD","Relayed"
"RLAG","Relaying"
"RLBL","Reliable"
"RLBLY","Reliably"
"RLS","Release"
"RLSD","Released"
"RLSG","Releasing"
"RLTV","Relative"
"RLTVLY","Relatively"
"RMK","Remark(s)"
"RMN","Remain"
"RMND","Remained"
"RMNG","Remaining"
"ROFOR","Route Forecast"
"ROFORS","Route Forecasts"
"ROT","Rotate"
"ROTD","Rotated"
"ROTG","Rotating"
"ROTN","Rotation"
"RPD","Rapid"
"RPDLY","Rapidly"
"RPLC","Replace, Replaced,"
"RPLCG","Replacing"
"RPLCNT","Replacement"
"RPT","Repeat"
"RPTD","Repeated"
"RPTG","Repeating"
"RPTLY","Repeatedly"
"RQR","Require"
"RQRD","Required"
"RQRG","Requiring"
"RQRMT","Requirement"
"RRT","Rainfall Rate"
"RSG","Rising"
"RSN","Reason"
"RSNS","Reasons"
"RSTR","Restrict"
"RSTRD","Restricted"
"RSTRG","Restricting"
"RSTRN","Restriction"
"RSTRNS","Restrictions"
"RTE","Route(s)"
"RTHR","Rather"
"RTN","Return, Returned, Returning"
"RUF","Rough"
"RUFLY","Roughly"
"RVR","Runway Visual Range"
"RVS","Revise"
"RVSD","Revised"
"RVSG","Revising"
"RVSN","Revision"
"RWY","Runway(s)"
"S","South, Southern latitude"
"SA","Sand"
"SAR","Search And Rescue"
"SAT","Satellite"
"SATCOM","Satellite Communication"
"SATS","Satellites"
"SBJV","Subjective"
"SBJVLY","Subjectively"
"SBSD","Subside"
"SBSDD","Subsided"
"SBSDG","Subsiding"
"SBSDNC","Subsidence"
"SC","South Carolina"
"SC","Stratocumulus"
"SCND","Second (Next)"
"SCT","Scattered, Scatter"
"SCTG","Scattering"
"SD","South Dakota"
"SE","Southeast"
"SEC","Second (Time)"
"SECN","Section(s)"
"SECT","Sector(s)"
"SEL","Select"
"SELD","Selected"
"SELG","Selecting"
"SELN","Selection"
"SELY","Southeasterly"
"SEP","September"
"SER","Service(s), served, servicing"
"SERN","Southeastern"
"SETG","Setting"
"SETL","Settle"
"SETLD","Settled"
"SETLG","Settling"
"SEV","Severe"
"SF","Stratus Fractus"
"SFC","Surface(s)"
"SG","Snow Grains"
"SGL","Signal(s)"
"SH","Shower(s)"
"SHFT","Shift"
"SHFTD","Shifted"
"SHFTG","Shifting"
"SHGR","Hail Shower(s)"
"SHGS","Snow Pellet Shower(s)"
"SHLW","Shallow"
"SHPL","Ice Pellet Shower(s)"
"SHR","Shore"
"SHRA","Rain Shower(s)"
"SHRS","Shores"
"SHRT","Short"
"SHRTLY","Shortly"
"SHSN","Snow Shower(s)"
"SHTDN","Shutdown"
"SHUD","Should"
"SI","Stability Index"
"SIG","Significant"
"SIGLY","Significantly"
"SIGMET","Information Concerning En- Route Weather Phenomena Which May Affect The Safety Of Aircraft Operations"
"SIGNTR","Signature"
"SIGNTRS","Signatures"
"SIGWX","Significant Weather"
"SIMUL","Simultaneous, Simultaneously"
"SITU","Situation"
"SITUS","Situations"
"SK","Saskatchewan"
"SK","Sky Condition (PIREP)"
"SKC","Sky Clear"
"SKED","Schedule(s)"
"SKED","Scheduled"
"SKED","Scheduling"
"SLGT","Slight"
"SLGTLY","Slightly"
"SLKRS","Selkirks Mountains"
"SLP","Sea Level Pressure"
"SLP","Slope"
"SLPD","Sloped"
"SLPG","Sloping"
"SLW","Slow, Slowed, Slowing, Slowly"
"SLY","Southerly"
"SML","Small"
"SMRY","Summary"
"SMTH","Smooth"
"SMTM","Sometimes"
"SMWHT","Somewhat"
"SN","Snow"
"SNFL","Snowfall"
"SNFLS","Snowfalls"
"SNSQ","Snow Squall(s)"
"SPD","Speed"
"SPECI","Aerodrome Special Meteorological Report"
"SPECI","Specials"
"SPKL","Sprinkle"
"SPKLD","Sprinkled"
"SPKLG","Sprinkling"
"SPKLS","Sprinkles"
"SPRD","Spread"
"SPRDD","Spreaded"
"SPRDG","Spreading"
"SPRL","Spiral"
"SPRLD","Spiralled"
"SPRLG","Spiralling"
"SPRLS","Spirals"
"SQ","Squall(s)"
"SQL","Squall Line(s)"
"SQNC","Sequence"
"SR","Sunrise"
"SRC","Source"
"SRCS","Sources"
"SRG","Short Range"
"SRN","Southern"
"SS","Sandstorm"
"SS","Sunset"
"SSE","South-Southeast"
"SSW","South-Southwest"
"SSWX","Summer Severe Weather"
"ST","Stratus"
"STAG","Stagnant"
"STAGS","Stagnants"
"STATS","Statistics"
"STBL","Stable"
"STD","Standard(s)"
"STDY","Steady"
"STDYLY","Steadily"
"STF","Stratiform"
"STFD","Staffed"
"STG","Strong"
"STGLY","Strongly"
"STGR","Stronger"
"STGT","Strength"
"STGTN","Strengthen"
"STGTND","Strengthened"
"STGTNG","Strengthening"
"STLAWR","St. Lawrence"
"STM","Storm"
"STMS","Storms"
"STN","Station(s)"
"STNR","Stationary"
"STP","Stop"
"STPD","Stopped"
"STPG","Stopping"
"STPL","Stippled"
"STR","Strait"
"STRBI","Strait of Belle Isle"
"STRM","Stream"
"STRMD","Streamed"
"STRMG","Streaming"
"STRMS","Streams"
"STRS","Straits"
"SUG","Suggest"
"SUGD","Suggested"
"SUGG","Suggesting"
"SUGN","Suggestion"
"SUN","Sunday"
"SUP","Supplement(s) (AIP)"
"SUPPLD","Supplemented"
"SUPPLG","Supplementing"
"SUPR","Superior"
"SUPRT","Support"
"SUPRTD","Supported"
"SUPRTG","Supporting"
"SUPSD","Supersede"
"SUPSDD","Superseded"
"SUPSDG","Superseding"
"SVRL","Several"
"SW","Southwest"
"SWLY","Southwesterly"
"SWRN","Southwestern"
"SWV","Shortwave"
"SWVS","Shortwaves"
"SYNO","Synopsis, Synoptic"
"SYS","System(s)"
"T","Temperature(s)"
"TAF","Aerodrome Forecast"
"TAF","Aerodrome Forecasts"
"TC","Tropical Cyclone(s)"
"TCU","Towering Cumulus"
"TDA","Today"
"TECH","Technician"
"TECHL","Technical"
"TECHLY","Technically"
"TECHS","Technicians"
"TECR","Technical Reason(s)"
"TEL","Telephone(s)"
"TELECOM","Telecommunication"
"TEMPO","Temporary"
"TEPHI","Tephigram"
"TEPHIS","Tephigrams"
"TFC","Traffic"
"THK","Thick"
"THKN","Thicken"
"THKNG","Thickening"
"THKR","Thicker"
"THN","Thin"
"THNC","Thence"
"THNG","Thinning"
"THNR","Thinner"
"THRFTR","Thereafter"
"THRML","Thermal"
"THRMLY","Thermally"
"THRU","Through"
"THRUT","Throughout"
"THSD","Thousand"
"THSDS","Thousands"
"THU","Thursday"
"TIL","Until"
"TKOF","Take-Off"
"TL","Till"
"TLTP","Teletype"
"TMW","Tomorrow"
"TN","Minimum Temperature (TAF)"
"TN","Tennessee"
"TNDCY","Tendency"
"TNGT","Tonight"
"TOP","Cloud Top(s)"
"TPG","Topping"
"TR","Trace"
"TR","Track(s), Tracked, Tracking"
"TRAJ","Trajectory"
"TRAJS","Trajectories"
"TRANS","Transmit, Transmitted, Transmitting, Transmission"
"TRML","Terminal"
"TRMLS","Terminals"
"TRNMT","Torngat Mountains"
"TROF","Trough"
"TROF","Troughs"
"TROP","Tropopause"
"TROPCL","Tropical"
"TROWAL","Trough Of Warm Air Aloft"
"TRRN","Terrain"
"TRS","Traces"
"TS","Thunderstorm(s)"
"TSFR","Transfer"
"TSFRD","Transferred"
"TSFRG","Transferring"
"TUE","Tuesday"
"TUKPEN","Tuktoyaktuk Peninsula"
"TURB","Turbulence"
"TWB","Transcribed Weather Broadcast"
"TWD","Toward"
"TWLGT","Twilight"
"TWRG","Towering"
"TX","Maximum Temperature (TAF)"
"TX","Texas"
"TYP","Type Of Aircraft"
"TYPH","Typhoon(s)"
"UA","Routine PIREP"
"UA","Upper Air"
"UAS","Routine PIREPs"
"UFN","Until Further Notice"
"UNA","Unable"
"UNAVBL","Unavailable"
"UNGBA","Ungava Bay"
"UNL","Unlimited"
"UNLK","Unlike"
"UNLKLY","Unlikely"
"UNLS","Unless"
"UNREL","Unreliable"
"UNRELY","Unreliably"
"UNSETL","Unsettle"
"UNSETLD","Unsettled"
"UNSKED","Unscheduled"
"UNSTBL","Unstable"
"UNSTDY","Unsteady"
"UP","Unidentified precipitation (used in automated METAR/SPECI)"
"UPDFT","Updraft"
"UPDFTS","Updrafts"
"UPR","Upper"
"UPSLP","Upslope"
"UPSTRM","Upstream"
"UPWND","Upwind"
"URG","Urgent"
"URGLY","Urgently"
"USBL","Usable"
"UT","Utah"
"UTC","Universal Time Coordinated"
"UUA","Urgent PIREP"
"UUAS","Urgent PIREPs"
"VA","Virginia"
"VA","Volcanic Ash"
"VC","Vicinity (of the aerodrome)"
"VCBLDU","Blowing Dust In The Vicinity"
"VCBLSA","Blowing Sand In Vicinity"
"VCBLSN","Blowing Snow In Vicinity"
"VCDS","Duststorm In Vicinity"
"VCFG","Fog (Any Type) In Vicinity"
"VCPO","Dust Whirls in Vicinity"
"VCPO","Sand Whirls in Vicinity"
"VCSH","Shower (Any Type) in Vicinity"
"VCSS","Sandstorm in Vicinity"
"VER","Vertical, Vertically"
"VFR","Visual Flight Rules"
"VFY","Verify"
"VFYD","Verified"
"VFYG","Verifying"
"VFYN","Verification"
"VIA","By way of, Via"
"VICISL","Victoria Island"
"VIS","Visibility"
"VISBL","Visible"
"VISL","Visual"
"VISLY","Visually"
"VLNT","Violent"
"VLNTLY","Violently"
"VLY","Valley"
"VLYS","Vallies"
"VORT","Vorticity"
"VPR","Vapour"
"VR","Veer"
"VRB","Variable"
"VRBLY","Variably"
"VRD","Veered"
"VRG","Veering"
"VRISL","Vancouver Island"
"VRTN","Variation"
"VRTNS","Variations"
"VRY","Very"
"VT","Vermont"
"VV","Vertical Visibility"
"W","West or Western longitude"
"WA","Washington"
"WAA","Warm Air Advection"
"WB","Wet Bulb"
"WDLY","Widely"
"WDR","Wider"
"WDSPR","Widespread"
"WED","Wednesday"
"WI","Wisconsin"
"WI","Within"
"WID","Wide, Width"
"WIND","Wind"
"WK","Weak"
"WKN","Weaken, Weakening"
"WKR","Weaker"
"WLY","Westerly"
"WNW","West-Northwest"
"WO","Without"
"WRM","Warm"
"WRMG","Warming"
"WRMR","Warmer"
"WRN","Western"
"WRN","Warn"
"WRNG","Warning"
"WRS","Worse"
"WRSN","Worsen"
"WRSNG","Worsening"
"WS","Wind Shear"
"WSHFT","Wind Shift"
"WSPD","Wind Speed"
"WSW","West-Southwest"
"WSWX","Winter Severe Weather"
"WT","Weight"
"WTR","Water"
"WTRS","Waters"
"WTSPT","Waterspout(s)"
"WV","Wave"
"WVS","Waves"
"WX","Weather"
"WY","Wyoming"
"XNG","Crossing"
"XPND","Expand"
"XPNDD","Expanded"
"XPNDG","Expanding"
"XPNDN","Expansion"
"XPOS","Expose"
"XPOSD","Exposed"
"XPOSG","Exposing"
"XTNSV","Extensive"
"XTNSVLY","Extensively"
"XTRAP","Extrapolation"
"XTRM","Extreme"
"XTRMLY","Extremely"
"YDA","Yesterday"
"YT","Yukon"
"Z","Zulu (UTC) Universal Time Coordinated"
